ALWNC_DE,ALWNC_RESN,BSI_INT,ENG_RN,MVMN_DE,MVMN_RESN,MVM_RES_CD,NTFC_DE,OPERT_DE,RBP_CN,RDS_DPN_SE,RDS_MAN_NO,REP_CN,RN,RN_CD,ROAD_BT,ROAD_LT,ROA_CLS_SE,SIG_CD,WDR_RD_CD
"20090710","서울의 남쪽을 연결하는 도로","20","Nambusunhwan-ro","20141030","직권수정(속성변경)","99","20100315","20150326104422","강서구 방화동 434-10","0",3,"강남구 수서동 329-21","남부순환로","2000003",41.000,32620.000,"2","11680","1"
"20100419","양재천 명칭 인용","20","Yangjaecheon-ro","20141030","기재내용정정","71","20100422","20181107140422","서울특별시 서초구 우면동 23-14(경부고속도로 하부)","0",5,"서울특별시 강남구 대치동 513(영동대로)","양재천로","3121023",20.000,4500.000,"3","11680","2"
"20100419","영등포의 동쪽 지역을 의미하는 영동이라는 지명에서 유래","20","Yeongdong-daero","20141030","기재내용정정","71","20100422","20181107140506","서울특별시 강남구 개포동 192-1","0",6,"서울특별시 성동구 성수동2가 158-1(영동대교 북단)","영동대로","2122002",70.000,5683.000,"2","11680","2"
"20100419","본래 학로였으나 1984년 11월 7일 가로명 제정때 학동로로 부여","20","Hakdong-ro","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20100422","20141030225537","논현동 50-2","0",7,"청담동 134-18","학동로","3122011",40.000,3755.000,"3","11680","3"
"20080901","이 노선이 지나는 일원동의 행정구역명을 적용하여 제정","20","Irwon-ro","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225537","일원동 618-3","0",8,"일원동 738","일원로","3122009",25.000,1430.000,"3","11680","3"
"20080901","조선 제9대 왕인 성종과 성종의 계비 정현왕후의 능인 선릉에서 유래","20","Seolleung-ro","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225534","개포동 567-22","0",9,"압구정동 510","선릉로","3122006",25.000,6352.000,"3","11680","3"
"20100419","삼성동 행정구역명을 인용하여  제정","20","Samseong-ro","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20100422","20141030225534","개포동 191","0",10,"청담동 48","삼성로","3122005",35.000,5061.000,"3","11680","3"
"20100422","행정구역 명칭 사용","20","Dogok-ro","20141117","누락된 부여일자 입력","71","20100422","20181107140310","서울특별시 강남구 도곡동 943(강남대로)","0",11,"서울특별시 송파구 잠실동 294 (백제고분로)","도곡로","3122012",40.000,4700.000,"3","11680","2"
"20100419","행정구역 명칭 적용","20","Yeoksam-ro","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20100422","20141030225536","역삼동 831-16","0",12,"대치동 1004-3","역삼로","3122008",20.000,3607.000,"3","11680","3"
"20100419","테헤란시와 서울시의 자매결연을 기념 상호 도시명을 도로명으로 제정","20","Teheran-ro","20141030","직권수정(속성변경)","99","20100422","20160607095026","역삼동 821","0",13,"삼성동 171-3","테헤란로","3122010",50.000,3898.000,"2","11680","3"
"20100419","강남개발 이전부터 존재하던 주요문화재 봉은사의 명칭을 인용","20","Bongeunsa-ro","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20100422","20141030225533","논현동 200-7","0",14,"삼성동 171-4","봉은사로","3122004",35.000,4200.000,"3","11680","3"
"20090710","서울의 남쪽을 연결하는 도로","20","Nambusunhwan-ro","20141030","직권수정(속성변경)","99","20100315","20150326104422","강서구 방화동 434-10","0",15,"강남구 수서동 329-21","남부순환로","2000003",40.000,32620.000,"2","11680","1"
"20100419","행정구역 명칭 적용","20","Apgujeong-ro","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20100422","20141030225535","압구정동 408","0",16,"청담동 119-2","압구정로","3122007",30.000,3041.000,"3","11680","3"
