,ALWNC_DE,ALWNC_RESN,BSI_INT,ENG_RN,MVMN_DE,MVMN_RESN,MVM_RES_CD,NTFC_DE,OPERT_DE,RBP_CN,RDS_DPN_SE,RDS_MAN_NO,REP_CN,RN,RN_CD,ROAD_BT,ROAD_LT,ROA_CLS_SE,SIG_CD,WDR_RD_CD,COORDS
0,20100419,행정구역 명칭 적용,20,Yeoksam-ro,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100422,20141030225536,역삼동 831-16,0,12,대치동 1004-3,역삼로,3122008,20.0,3607.0,3,11680,3,"[(127.02996760445366, 37.493030248551165), (127.03023801529281, 37.49310747989726), (127.03095311761675, 37.49332549900934), (127.0317577936122, 37.49357073712252), (127.03257011999749, 37.49381830132277), (127.03277182263642, 37.493879651263356), (127.03289544556883, 37.493917325330926), (127.03305041701414, 37.493961487113545), (127.03339765037497, 37.49406754069412), (127.0334488709031, 37.494083294355214), (127.03357718793573, 37.49412239902862), (127.0336284310354, 37.49413787329573), (127.03380559482476, 37.494194056397035), (127.03380704052675, 37.494194491973566), (127.03383181146197, 37.494201955221854), (127.03383645834899, 37.494203355284185), (127.0339875861362, 37.494247327676646), (127.03431092515166, 37.49434617713537), (127.0343518656252, 37.49435862658869), (127.03514837550601, 37.494601023703034), (127.03588698547584, 37.49482678182369), (127.03598679319494, 37.494856864149845), (127.03614197351293, 37.49490441857678), (127.03632152638953, 37.49495927272792), (127.03650096643064, 37.49501409059903), (127.0366805762501, 37.49506868289669), (127.03686007336417, 37.49512351822428), (127.03694514362786, 37.49514569337167), (127.03697681657046, 37.495155363143766), (127.03709235346885, 37.49519442924689), (127.037178420892, 37.49522058634336), (127.0373247244604, 37.495265303744354), (127.03755706196634, 37.495336177794066), (127.03762286250398, 37.495356168900635), (127.0377895128708, 37.49540679907126), (127.03789499992706, 37.49543913954692), (127.0380225854657, 37.49547598710902), (127.0381757657552, 37.49552139509851), (127.03818180523317, 37.495523240273165), (127.0382554891453, 37.49554574236828), (127.03848795266413, 37.49561636226462), (127.03872029235067, 37.4956872250114), (127.03895265510141, 37.49575810531307), (127.03902969844371, 37.49578145279917), (127.0392489980486, 37.495869428621596), (127.03924990288955, 37.49586978873234), (127.03942115490054, 37.495936750244894), (127.03956768830884, 37.49600561157079), (127.039586396644, 37.49601439929736), (127.04045116931674, 37.49644125421231), (127.04064588102274, 37.49653720036495), (127.04196777108885, 37.49718857401719), (127.04333273557128, 37.497859919742034), (127.0433430631068, 37.49786499772075), (127.0437611905801, 37.498075034001005), (127.04467691569138, 37.498510074724315), (127.04477782464045, 37.49855259199609), (127.04489234881417, 37.49859422120434), (127.04500935020306, 37.49863669632833), (127.04544352825447, 37.49877954223785), (127.0476667089471, 37.49950627829093), (127.04776621235938, 37.49953861226524), (127.05085719102657, 37.500554084729124), (127.05206653285427, 37.50095125621097), (127.05208501587724, 37.50095733004106), (127.05215786206593, 37.50098122935856), (127.05264870404221, 37.501142233601044), (127.05305973311556, 37.501276700202624), (127.05342349230051, 37.50139569798559), (127.05380989867957, 37.501522189940346), (127.05457473916722, 37.50177059655786), (127.05457533869155, 37.50177079450824), (127.05492688533852, 37.50188494576369), (127.05526527736117, 37.501994732114035), (127.05593214453448, 37.50221199991229), (127.0559362846822, 37.50221334950272), (127.05667545215594, 37.50245656455968), (127.05718290612141, 37.502620191094806), (127.05718390157712, 37.50262051498512), (127.05722481704562, 37.50263378542272), (127.05761591855713, 37.50276067714328), (127.05764601987978, 37.502770447686295), (127.05765518262506, 37.5027734166267), (127.05792329901239, 37.50285803680797), (127.05800998463815, 37.50288784545777), (127.05810906695642, 37.50291980149163), (127.0581908513832, 37.5029437738877), (127.05845751224936, 37.50303124971621), (127.05864286181334, 37.50309195959216), (127.05864400433722, 37.50309232844893), (127.0591448288749, 37.503256697570286), (127.05926008918416, 37.503294663411246), (127.05931204610417, 37.50331153171942), (127.0593603937886, 37.50332636551614), (127.05939582455176, 37.503339079266524), (127.05942746490642, 37.50334948830915), (127.05947943342726, 37.50336663584726), (127.05950034969659, 37.503373401089036), (127.05959468253488, 37.50340430403707), (127.05960493144904, 37.5034076777411), (127.05968865229931, 37.503433594301754), (127.05970968663438, 37.5034404659294), (127.05976284101617, 37.5034578307117), (127.05981465291812, 37.503474756894065), (127.05992944672863, 37.50351423194781), (127.05993948078036, 37.503517587709), (127.05998141526044, 37.50353109995513), (127.06005191197457, 37.503552265531454), (127.06009698022464, 37.50356698798201), (127.06014926639764, 37.50358406828347), (127.0602651317824, 37.50362191786799), (127.06031703950049, 37.5036388744409), (127.06043261975049, 37.50367663066124), (127.06048561720867, 37.50369394311608), (127.06059953812155, 37.50373115706964), (127.06065220129595, 37.50374836022588), (127.0606676415518, 37.50375340399361), (127.06070414505825, 37.50376532824263), (127.06076690224302, 37.503785828492674), (127.06082005953247, 37.50380319280783), (127.06087099580354, 37.50381983157695), (127.06093502929886, 37.50384074862482), (127.06098700530073, 37.50385772696285), (127.0610395959346, 37.50387490604377), (127.06110187480097, 37.50389524980981), (127.06115376496263, 37.5039122000094), (127.06118624610856, 37.50392281013446), (127.06120675171702, 37.50392950840429), (127.06133076521375, 37.503973886709595), (127.06141438658581, 37.504001153591744), (127.06156073572949, 37.504049228633505), (127.06162353111525, 37.50406976648522), (127.06179086503973, 37.50412457002757), (127.06187449828839, 37.50415212489656), (127.0620210063468, 37.50420019027547), (127.06211203799164, 37.50422998467149), (127.0621254660196, 37.50423449178306), (127.06225096693923, 37.50427553085745), (127.06234199900058, 37.50430561339494), (127.06237644560379, 37.504316849118986), (127.06248110917277, 37.50435115020627), (127.06256042555982, 37.504375737722945), (127.06261733399934, 37.50439221095637), (127.06265677719567, 37.504403155124216), (127.06271266069092, 37.504420863745246), (127.06280474517499, 37.5044512187732), (127.06281835400104, 37.504455437392664), (127.06294473666165, 37.50449506971389), (127.06300782614528, 37.504514750727), (127.06303629966268, 37.50452374588218), (127.06396849703363, 37.50483160527662), (127.06514894999833, 37.50522090018083), (127.06648844170374, 37.50566307456634), (127.06715346463014, 37.505882595442024), (127.06732133872958, 37.50593800350918)]"
1,20100419,테헤란시와 서울시의 자매결연을 기념 상호 도시명을 도로명으로 제정,20,Teheran-ro,20141030,직권수정(속성변경),99,20100422,20160607095026,역삼동 821,0,13,삼성동 171-3,테헤란로,3122010,50.0,3898.0,2,11680,3,"[(127.02762873698151, 37.49795760670573), (127.02792916785181, 37.49804342315118), (127.02799500231237, 37.498063942182675), (127.02839073356266, 37.498187001374845), (127.02867352547835, 37.498274712032796), (127.02868816054861, 37.49827948396252), (127.02941748067983, 37.498506257599566), (127.02988845063315, 37.49865259380518), (127.0302143033813, 37.498753841442536), (127.03104807016062, 37.49901295246675), (127.03195753052587, 37.49929571636471), (127.03278629894933, 37.49955338379547), (127.03316715143968, 37.49967463790442), (127.03336984442554, 37.49973962652974), (127.03342797971509, 37.499758189435624), (127.03394237346762, 37.49991545385399), (127.03471882034773, 37.50015291264644), (127.03560541379929, 37.50042404095458), (127.03690577806633, 37.500821224228766), (127.03718889376513, 37.500905887008756), (127.03838344194928, 37.50125205354807), (127.03840213860313, 37.50125747150503), (127.0385357477397, 37.50131120130586), (127.03854688883813, 37.50131457655869), (127.0387370908953, 37.50137253208181), (127.03877557023809, 37.50138433204284), (127.03892711241339, 37.50143071260484), (127.03911242911495, 37.501487840150716), (127.03913315694253, 37.501494153620584), (127.03923945045369, 37.50152652938896), (127.03949782317201, 37.50160489172923), (127.03980132794024, 37.50169766868543), (127.04044816543164, 37.50189510932477), (127.04059079660274, 37.501938706599354), (127.0406436526866, 37.50195474489723), (127.04083823531397, 37.50202064277768), (127.04102748172855, 37.5020847330624), (127.0411680172411, 37.502133075869054), (127.04118516465125, 37.5021381337235), (127.04128713327792, 37.50216878744534), (127.04130780977573, 37.50217497935176), (127.04160578800229, 37.50226610469657), (127.04179790653676, 37.502324883549505), (127.04199019485984, 37.50238338272174), (127.0421823140005, 37.50244216995801), (127.04237459161453, 37.50250066850693), (127.04240074303931, 37.50250882250443), (127.04255026492093, 37.50255437919967), (127.04256710672172, 37.502558617050795), (127.04276817996626, 37.50261061570341), (127.04280041633663, 37.502619641455695), (127.04351675637557, 37.50284154810378), (127.04435028370403, 37.50309561865467), (127.0445200095684, 37.503146652603775), (127.04494195664554, 37.50327547615037), (127.04495355084956, 37.50327911192073), (127.0451771431708, 37.503348009919996), (127.04541219461741, 37.503420849609974), (127.0456451423049, 37.50349255435938), (127.04719530543171, 37.503967791265346), (127.04751772114375, 37.504068758144534), (127.04780688171486, 37.50415987124845), (127.04780692696394, 37.50415988925068), (127.0480969127735, 37.504249298433386), (127.04838748685098, 37.50433787775117), (127.04859913927032, 37.50440144909808), (127.04880897354238, 37.50446871488471), (127.04896629858742, 37.504519143727386), (127.04897887737162, 37.5045231931654), (127.04934624115322, 37.50464041800996), (127.04971628306558, 37.504752369778814), (127.0500866423363, 37.504863680547146), (127.05045669776351, 37.50497562998633), (127.05079912040011, 37.50508080528048), (127.05115817213853, 37.50519044154296), (127.0515173604739, 37.505299824374596), (127.0518779271788, 37.50540318304437), (127.05189162425785, 37.50540710936921), (127.05223884925309, 37.505513620180814), (127.05259732075416, 37.50562357945257), (127.0529341893767, 37.50572691086579), (127.05295550024935, 37.50573344717483), (127.05329431841065, 37.50583736623788), (127.05362934674642, 37.505945089208126), (127.05396711743224, 37.50604855446598), (127.05424143895226, 37.50613290088941), (127.05430470828931, 37.50615229814565), (127.05445246881942, 37.50619756122224), (127.05464248103665, 37.506256040776655), (127.05466351056434, 37.506262509491165), (127.05479025329088, 37.50630131243453), (127.05498011551163, 37.50635502650777), (127.05502457251471, 37.50636803353302), (127.05529167154289, 37.50645536308588), (127.0554817301116, 37.50651357096704), (127.05555559986222, 37.5065363504602), (127.05567170979306, 37.506571760557954), (127.05581967535512, 37.506616751527446), (127.05586187052451, 37.50662967045014), (127.05608374011054, 37.50669716101802), (127.05617883206398, 37.50672611115977), (127.05634781673504, 37.50677756090159), (127.05660693964546, 37.50685342678004), (127.0566154324208, 37.506855913279466), (127.05697568083723, 37.50696641198979), (127.0573455265605, 37.507079852991055), (127.0574793675371, 37.50712090501996), (127.05751401782874, 37.5071315293814), (127.05771397917282, 37.5071939095976), (127.05808384402565, 37.50730638275913), (127.05811479417584, 37.50731579440257), (127.05852600946969, 37.50744439426754), (127.05873688859555, 37.507509335322), (127.05896896821173, 37.50758101416171), (127.05905333814788, 37.507606894797114), (127.05940285257347, 37.50771070816756), (127.05944202858399, 37.50772283441029), (127.05968647677702, 37.50780142543233), (127.06071857614758, 37.50811796469032), (127.06196772307949, 37.50850121101462), (127.06315650495463, 37.5088659240802), (127.06317215088308, 37.508870682190874), (127.06317223007673, 37.50887070917946), (127.0635851522175, 37.50899099231821), (127.06358522010119, 37.508991019312425), (127.06379604006587, 37.50905592431681), (127.06379610794971, 37.509055951310955), (127.06393321200339, 37.50909836997921), (127.06400691720171, 37.50912113525291), (127.0640069850782, 37.509121153236954), (127.06421797542683, 37.50918605739649), (127.06421799806243, 37.50918607540441), (127.06428144243894, 37.509205746521715), (127.06442832265785, 37.50925239410639), (127.06460333905422, 37.50930777516833), (127.06463850084938, 37.5093190188503), (127.0648482729291, 37.50938645433456), (127.06484834081358, 37.50938648132804), (127.06497067199527, 37.50942555499899), (127.06505815829009, 37.509453655125206), (127.06526806660924, 37.50952081047976), (127.06526817974289, 37.50952084645863), (127.0653380058438, 37.509543045365), (127.0654779527218, 37.50958801052234), (127.06547800928877, 37.50958802851167), (127.06570525058346, 37.5096607959236), (127.06570532977884, 37.50966082291048), (127.0660724849712, 37.50977832009411), (127.0660725867875, 37.50977834706839), (127.06642403982298, 37.5098906169433), (127.06642797691885, 37.50989187617592), (127.06666590475997, 37.50994748988812), (127.06666593869889, 37.50994749887938), (127.06690894525782, 37.50999015296226), (127.06715196316635, 37.510032536239386), (127.06715201972612, 37.51003254521797), (127.06738139287681, 37.510069574670595)]"
2,20101018,강남대로 시점에서 110번째 분기된 도로,16,Gangnam-daero 110-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225530,역삼동 601-11,0,52,역삼동 632-8,강남대로110길,4166005,6.0,685.0,4,11680,3,"[(127.02476220921118, 37.50390570629146), (127.02555521507651, 37.50414605102147), (127.02562603244033, 37.50399697546124), (127.02633792018119, 37.503865309335254), (127.0266142608714, 37.503814200395716), (127.02706317232783, 37.50373116729259), (127.02750988605881, 37.50386869731706), (127.02831247057568, 37.504115787926935), (127.02860131460223, 37.503958218576464), (127.0291777326071, 37.50364375379066), (127.0294439701066, 37.503498513314156), (127.02985299193074, 37.50327536479533), (127.03043819623355, 37.50295609840562), (127.03072162057848, 37.50298918541653), (127.03110218544676, 37.50303360904817), (127.03129596845014, 37.503056229476), (127.0317285254685, 37.5031067197103)]"
3,20101018,강남대로 시점에서 106번째 분기된 도로,17,Gangnam-daero 106-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225530,역삼동 809-13,0,53,역삼동 618-6,강남대로106길,4166004,6.0,265.0,4,11680,3,"[(127.02537440354597, 37.50259686627172), (127.0261749196054, 37.50284144908216), (127.02673543212374, 37.50301270964507), (127.02706103885035, 37.50311219098833), (127.02732592013159, 37.5031931241506), (127.02777703058763, 37.50333094954667), (127.02816712189686, 37.50345012732482), (127.02816781184323, 37.50345033439874)]"
4,20101018,강남대로 시점에서 102번째 분기된 도로,17,Gangnam-daero 102-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225530,역삼동 814-6,0,54,역삼동 618,강남대로102길,4166003,6.0,390.0,4,11680,3,"[(127.02611438434687, 37.50105916063711), (127.02669898386996, 37.50173813808296), (127.02696619960001, 37.502048492808235), (127.02710812950896, 37.50221332683842), (127.02755240980473, 37.50272932162395), (127.02816747242068, 37.5034499380361), (127.02816781184323, 37.50345033439874), (127.02860131460223, 37.503958218576464)]"
5,20101018,강남대로 시점에서 98번째 분기된 도로,16,Gangnam-daero 98-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225531,역삼동 815-5,0,55,역삼동 817-27,강남대로98길,4166039,6.0,238.0,4,11680,3,"[(127.02645109408468, 37.50036295147544), (127.0272397590849, 37.50060303368364), (127.02772648070405, 37.50075119504084), (127.02788273103494, 37.50079876002991), (127.02850775695431, 37.50098900889989), (127.02858115466246, 37.500995028798535), (127.02865398135559, 37.50098564170693), (127.02872137437451, 37.500961569544764), (127.02877858449098, 37.5009244352146), (127.02882176754846, 37.50087676241572), (127.02886715183283, 37.50078719265537)]"
6,20101018,강남대로 시점에서 96번째 분기된 도로,18,Gangnam-daero 96-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225531,역삼동 816-3,0,56,역삼동 818-6,강남대로96길,4166038,6.0,189.0,4,11680,3,"[(127.0268562524601, 37.499507096652025), (127.02764760117381, 37.49974694133835), (127.02804138299331, 37.49986628998051), (127.0288589222474, 37.50011405845285)]"
7,20101018,강남대로 시점에서 94번째 분기된 도로,15,Gangnam-daero 94-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225531,역삼동 818-15,0,57,역삼동 646-14,강남대로94길,4166037,6.0,696.0,4,11680,3,"[(127.02787752101645, 37.49926431529261), (127.0293757172374, 37.499722246528236), (127.02970243289337, 37.49982210781679), (127.03053718080484, 37.500077230739386), (127.03140423660504, 37.50034222353847), (127.031755614181, 37.50044961425476), (127.03181776447026, 37.500468609402304), (127.03227570957851, 37.500608560309104), (127.03272645594865, 37.50075662032665), (127.03279636635972, 37.50077958631191), (127.03304913532072, 37.500730027262044), (127.03334341573203, 37.50067232948754), (127.03359836641405, 37.500622336194695), (127.03409174063974, 37.500774064503105), (127.0343701714815, 37.50085969038945), (127.03450486858283, 37.50090111680995), (127.03480992543469, 37.50099493330713), (127.0352481540421, 37.50112970650081)]"
8,20101018,강남대로 시점에서 92번째 분기된 도로,16,Gangnam-daero 92-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225531,역삼동 820-11,0,58,역삼동 649-14,강남대로92길,4166036,6.0,324.0,4,11680,3,"[(127.0273563056145, 37.49852486350408), (127.028118625171, 37.49875820621008), (127.02957393659926, 37.499203647767274), (127.02962176329464, 37.49920896130247), (127.02966741862878, 37.49921404107608), (127.03078690404307, 37.49955702254497)]"
9,20101018,강남대로 시점에서 84번째 분기된 도로,16,Gangnam-daero 84-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225531,역삼동 825-8,0,59,역삼동 827-48,강남대로84길,4166035,8.0,326.0,4,11680,3,"[(127.02838744754702, 37.49630663488549), (127.0293874977254, 37.49660958044924), (127.03020015400533, 37.49685575517564), (127.03061740370102, 37.496982144415895), (127.03099158715837, 37.49709548745363), (127.031837369215, 37.49735167975781)]"
