,SIG_CD,RDS_MAN_NO,RDS_MAN_NO2,RN,RN_CD,LAT,LNG,분류,밝기
0,11680,12,0,역삼로,3122008,37.49303024855117,127.02996760445366,도로,0
1,11680,12,1,역삼로,3122008,37.493107479897255,127.0302380152928,도로,0
2,11680,12,2,역삼로,3122008,37.49332549900935,127.03095311761676,도로,20
3,11680,12,3,역삼로,3122008,37.49357073712253,127.0317577936122,도로,0
4,11680,12,4,역삼로,3122008,37.493818301322776,127.03257011999749,도로,0
5,11680,12,5,역삼로,3122008,37.49387965126336,127.03277182263642,도로,20
6,11680,12,6,역삼로,3122008,37.493917325330926,127.03289544556885,도로,20
7,11680,12,7,역삼로,3122008,37.493961487113545,127.03305041701414,도로,0
8,11680,12,8,역삼로,3122008,37.49406754069412,127.03339765037495,도로,20
9,11680,12,9,역삼로,3122008,37.49408329435522,127.03344887090307,도로,20
10,11680,12,10,역삼로,3122008,37.49412239902862,127.03357718793572,도로,40
11,11680,12,11,역삼로,3122008,37.49413787329573,127.03362843103541,도로,40
12,11680,12,12,역삼로,3122008,37.494194056397035,127.03380559482477,도로,20
13,11680,12,13,역삼로,3122008,37.49419449197357,127.03380704052677,도로,20
14,11680,12,14,역삼로,3122008,37.494201955221854,127.03383181146195,도로,0
15,11680,12,15,역삼로,3122008,37.494203355284185,127.033836458349,도로,0
16,11680,12,16,역삼로,3122008,37.494247327676646,127.0339875861362,도로,0
17,11680,12,17,역삼로,3122008,37.49434617713537,127.03431092515166,도로,0
18,11680,12,18,역삼로,3122008,37.494358626588685,127.03435186562521,도로,0
19,11680,12,19,역삼로,3122008,37.49460102370304,127.035148375506,도로,40
20,11680,12,20,역삼로,3122008,37.49482678182369,127.03588698547584,도로,40
21,11680,12,21,역삼로,3122008,37.49485686414985,127.03598679319494,도로,60
22,11680,12,22,역삼로,3122008,37.49490441857678,127.03614197351291,도로,40
23,11680,12,23,역삼로,3122008,37.494959272727925,127.03632152638953,도로,20
24,11680,12,24,역삼로,3122008,37.49501409059903,127.03650096643065,도로,0
25,11680,12,25,역삼로,3122008,37.49506868289669,127.03668057625008,도로,0
